order_item_id|order_id|product_id|quantity|unit_price|line_total|discount_applied
1|839|35|3|406.55|1219.65|0.0
2|839|28|3|48.41|145.23|0.0
3|839|42|2|711.3|1422.6|0.0
4|314|88|1|933.52|933.52|0.0
5|314|63|2|656.5|1313.0|0.0
6|314|1|3|141.62|424.86|0.0
7|314|11|1|355.11|355.11|0.0
8|314|23|2|156.21|312.42|0.0
9|1349|3|2|591.41|1182.82|0.0
10|1349|75|1|108.08|108.08|0.0
11|1349|12|2|79.26|158.52|0.0
12|1349|20|2|120.81|241.62|0.0
13|1349|29|3|835.09|2505.27|0.0
14|793|49|1|229.75|229.75|22.98
15|793|84|2|106.36|212.72|0.0
16|793|98|2|383.46|766.92|0.0
17|793|58|3|722.95|2168.85|0.0
18|793|1|2|141.62|283.24|0.0
19|160|33|3|780.86|2342.58|0.0
20|160|65|2|59.34|118.68|0.0
21|160|97|2|419.52|839.04|0.0
22|160|11|1|355.11|355.11|0.0
23|1126|66|1|503.46|503.46|0.0
24|1126|70|3|277.88|833.64|0.0
25|1126|19|2|31.57|63.14|0.0
26|853|36|2|890.23|1780.46|0.0
27|853|92|1|678.7|678.7|67.87
28|853|52|1|852.47|852.47|0.0
29|1685|52|3|852.47|2557.41|255.74
30|1685|60|2|715.08|1430.16|0.0
31|1685|78|1|948.39|948.39|0.0
32|1685|100|3|18.28|54.84|0.0
33|1868|86|1|111.62|111.62|11.16
34|1868|23|1|156.21|156.21|0.0
35|1868|18|2|364.65|729.3|0.0
36|1868|96|2|886.8|1773.6|0.0
37|1243|2|2|179.15|358.3|0.0
38|1243|50|2|477.24|954.48|95.45
39|99|75|2|108.08|216.16|0.0
40|99|53|3|825.35|2476.05|247.61
41|99|23|3|156.21|468.63|0.0
42|99|25|1|965.82|965.82|0.0
43|99|45|3|637.59|1912.77|0.0
44|673|32|3|153.3|459.9|0.0
45|673|28|2|48.41|96.82|0.0
46|673|42|2|711.3|1422.6|0.0
47|673|97|2|419.52|839.04|0.0
48|673|71|2|764.98|1529.96|153.0
49|1148|2|2|179.15|358.3|0.0
50|1148|39|1|446.44|446.44|0.0
51|1148|16|2|974.54|1949.08|0.0
52|1148|32|1|153.3|153.3|0.0
53|1134|78|3|948.39|2845.17|0.0
54|1134|68|3|893.48|2680.44|0.0
55|1068|52|1|852.47|852.47|0.0
56|1068|2|1|179.15|179.15|0.0
57|983|84|3|106.36|319.08|0.0
58|1347|19|1|31.57|31.57|3.16
59|1347|79|2|984.96|1969.92|0.0
60|1347|93|3|143.55|430.65|0.0
61|1347|96|1|886.8|886.8|0.0
62|824|10|1|441.58|441.58|0.0
63|824|28|3|48.41|145.23|0.0
64|824|39|1|446.44|446.44|44.64
65|824|16|3|974.54|2923.62|0.0
66|824|3|1|591.41|591.41|0.0
67|1967|56|2|952.46|1904.92|0.0
68|1967|83|3|158.2|474.6|47.46
69|1967|42|1|711.3|711.3|0.0
70|1967|86|1|111.62|111.62|0.0
71|1967|50|3|477.24|1431.72|0.0
72|1980|67|1|871.61|871.61|0.0
73|1501|4|2|730.45|1460.9|146.09
74|1501|73|2|892.64|1785.28|0.0
75|512|80|2|712.83|1425.66|0.0
76|55|52|1|852.47|852.47|0.0
77|55|17|2|301.61|603.22|0.0
78|55|73|1|892.64|892.64|0.0
79|55|100|1|18.28|18.28|0.0
80|55|70|2|277.88|555.76|0.0
81|524|58|3|722.95|2168.85|0.0
82|470|68|2|893.48|1786.96|0.0
83|1861|20|3|120.81|362.43|0.0
84|1861|97|2|419.52|839.04|0.0
85|1861|98|1|383.46|383.46|0.0
86|1861|84|2|106.36|212.72|0.0
87|1240|91|1|105.2|105.2|0.0
88|385|85|1|899.22|899.22|0.0
89|1041|41|2|519.39|1038.78|0.0
90|1041|52|1|852.47|852.47|0.0
91|1041|13|1|79.75|79.75|0.0
92|1041|2|2|179.15|358.3|0.0
93|1041|7|2|982.48|1964.96|0.0
94|1675|98|3|383.46|1150.38|0.0
95|1675|85|3|899.22|2697.66|0.0
96|1675|23|3|156.21|468.63|0.0
97|1675|6|1|109.48|109.48|0.0
98|1675|19|3|31.57|94.71|0.0
99|1910|59|1|391.94|391.94|0.0
100|1910|6|1|109.48|109.48|0.0
101|350|36|3|890.23|2670.69|0.0
102|350|58|2|722.95|1445.9|0.0
103|350|37|1|26.1|26.1|0.0
104|369|54|1|596.2|596.2|59.62
105|369|17|1|301.61|301.61|0.0
106|369|100|2|18.28|36.56|0.0
107|369|29|1|835.09|835.09|0.0
108|369|41|3|519.39|1558.17|0.0
109|549|81|2|54.29|108.58|0.0
110|549|5|3|186.98|560.94|0.0
111|549|89|3|576.7|1730.1|0.0
112|549|72|3|965.53|2896.59|0.0
113|1057|35|2|406.55|813.1|0.0
114|1247|5|3|186.98|560.94|0.0
115|1247|78|3|948.39|2845.17|0.0
116|1247|10|2|441.58|883.16|0.0
117|646|94|3|879.19|2637.57|0.0
118|1260|58|3|722.95|2168.85|0.0
119|1260|34|2|386.74|773.48|0.0
120|1260|35|1|406.55|406.55|0.0
121|1851|51|1|610.68|610.68|0.0
122|1064|1|3|141.62|424.86|0.0
123|1064|7|1|982.48|982.48|0.0
